# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinning face;face|grin|grinning face
👎;thumbs down;-1|down|hand|thumb|thumbs down
	👎🏻;thumbs down: light skin tone;-1|down|hand|light skin tone|thumb|thumbs down|thumbs down: light skin tone
	👎🏼;thumbs down: medium-light skin tone;-1|down|hand|medium-light skin tone|thumb|thumbs down|thumbs down: medium-light skin tone
	👎🏽;thumbs down: medium skin tone;-1|down|hand|medium skin tone|thumb|thumbs down|thumbs down: medium skin tone
	👎🏾;thumbs down: medium-dark skin tone;-1|down|hand|medium-dark skin tone|thumb|thumbs down|thumbs down: medium-dark skin tone
	👎🏿;thumbs down: dark skin tone;-1|dark skin tone|down|hand|thumb|thumbs down|thumbs down: dark skin tone
✊;raised fist;clenched|fist|hand|punch|raised fist
	✊🏻;raised fist: light skin tone;clenched|fist|hand|light skin tone|punch|raised fist|raised fist: light skin tone
	✊🏼;raised fist: medium-light skin tone;clenched|fist|hand|medium-light skin tone|punch|raised fist|raised fist: medium-light skin tone
	✊🏽;raised fist: medium skin tone;clenched|fist|hand|medium skin tone|punch|raised fist|raised fist: medium skin tone
	✊🏾;raised fist: medium-dark skin tone;clenched|fist|hand|medium-dark skin tone|punch|raised fist|raised fist: medium-dark skin tone
	✊🏿;raised fist: dark skin tone;clenched|dark skin tone|fist|hand|punch|raised fist|raised fist: dark skin tone
👊;oncoming fist;clenched|fist|hand|oncoming fist|punch
	👊🏻;oncoming fist: light skin tone;clenched|fist|hand|light skin tone|oncoming fist|oncoming fist: light skin tone|punch
	👊🏼;oncoming fist: medium-light skin tone;clenched|fist|hand|medium-light skin tone|oncoming fist|oncoming fist: medium-light skin tone|punch
	👊🏽;oncoming fist: medium skin tone;clenched|fist|hand|medium skin tone|oncoming fist|oncoming fist: medium skin tone|punch
	👊🏾;oncoming fist: medium-dark skin tone;clenched|fist|hand|medium-dark skin tone|oncoming fist|oncoming fist: medium-dark skin tone|punch
	👊🏿;oncoming fist: dark skin tone;clenched|dark skin tone|fist|hand|oncoming fist|oncoming fist: dark skin tone|punch
🤛;left-facing fist;fist|left-facing fist|leftwards
	🤛🏻;left-facing fist: light skin tone;fist|left-facing fist|left-facing fist: light skin tone|leftwards|light skin tone
	🤛🏼;left-facing fist: medium-light skin tone;fist|left-facing fist|left-facing fist: medium-light skin tone|leftwards|medium-light skin tone
	🤛🏽;left-facing fist: medium skin tone;fist|left-facing fist|left-facing fist: medium skin tone|leftwards|medium skin tone
	🤛🏾;left-facing fist: medium-dark skin tone;fist|left-facing fist|left-facing fist: medium-dark skin tone|leftwards|medium-dark skin tone
	🤛🏿;left-facing fist: dark skin tone;dark skin tone|fist|left-facing fist|left-facing fist: dark skin tone|leftwards
🤜;right-facing fist;fist|right-facing fist|rightwards
	🤜🏻;right-facing fist: light skin tone;fist|light skin tone|right-facing fist|right-facing fist: light skin tone|rightwards
	🤜🏼;right-facing fist: medium-light skin tone;fist|medium-light skin tone|right-facing fist|right-facing fist: medium-light skin tone|rightwards
	🤜🏽;right-facing fist: medium skin tone;fist|medium skin tone|right-facing fist|right-facing fist: medium skin tone|rightwards
	🤜🏾;right-facing fist: medium-dark skin tone;fist|medium-dark skin tone|right-facing fist|right-facing fist: medium-dark skin tone|rightwards
	🤜🏿;right-facing fist: dark skin tone;dark skin tone|fist|right-facing fist|right-facing fist: dark skin tone|rightwards
👏;clapping hands;clap|clapping hands|hand
	👏🏻;clapping hands: light skin tone;clap|clapping hands|clapping hands: light skin tone|hand|light skin tone
	👏🏼;clapping hands: medium-light skin tone;clap|clapping hands|clapping hands: medium-light skin tone|hand|medium-light skin tone
	👏🏽;clapping hands: medium skin tone;clap|clapping hands|clapping hands: medium skin tone|hand|medium skin tone
	👏🏾;clapping hands: medium-dark skin tone;clap|clapping hands|clapping hands: medium-dark skin tone|hand|medium-dark skin tone
	👏🏿;clapping hands: dark skin tone;clap|clapping hands|clapping hands: dark skin tone|dark skin tone|hand
🙌;raising hands;celebration|gesture|hand|hooray|raised|raising hands
	🙌🏻;raising hands: light skin tone;celebration|gesture|hand|hooray|light skin tone|raised|raising hands|raising hands: light skin tone
	🙌🏼;raising hands: medium-light skin tone;celebration|gesture|hand|hooray|medium-light skin tone|raised|raising hands|raising hands: medium-light skin tone
	🙌🏽;raising hands: medium skin tone;celebration|gesture|hand|hooray|medium skin tone|raised|raising hands|raising hands: medium skin tone
	🙌🏾;raising hands: medium-dark skin tone;celebration|gesture|hand|hooray|medium-dark skin tone|raised|raising hands|raising hands: medium-dark skin tone
	🙌🏿;raising hands: dark skin tone;celebration|dark skin tone|gesture|hand|hooray|raised|raising hands|raising hands: dark skin tone
🫶;heart hands;
	🫶🏻;heart hands: light skin tone;heart hands|heart hands: light skin tone|light skin tone|love
	🫶🏼;heart hands: medium-light skin tone;heart hands|heart hands: medium-light skin tone|love|medium-light skin tone
	🫶🏽;heart hands: medium skin tone;heart hands|heart hands: medium skin tone|love|medium skin tone
	🫶🏾;heart hands: medium-dark skin tone;heart hands|heart hands: medium-dark skin tone|love|medium-dark skin tone
	🫶🏿;heart hands: dark skin tone;dark skin tone|heart hands|heart hands: dark skin tone|love
👐;open hands;hand|open|open hands
	👐🏻;open hands: light skin tone;hand|light skin tone|open|open hands|open hands: light skin tone
	👐🏼;open hands: medium-light skin tone;hand|medium-light skin tone|open|open hands|open hands: medium-light skin tone
	👐🏽;open hands: medium skin tone;hand|medium skin tone|open|open hands|open hands: medium skin tone
	👐🏾;open hands: medium-dark skin tone;hand|medium-dark skin tone|open|open hands|open hands: medium-dark skin tone
	👐🏿;open hands: dark skin tone;dark skin tone|hand|open|open hands|open hands: dark skin tone
🤲;palms up together;palms up together|prayer
	🤲🏻;palms up together: light skin tone;light skin tone|palms up together|palms up together: light skin tone|prayer
	🤲🏼;palms up together: medium-light skin tone;medium-light skin tone|palms up together|palms up together: medium-light skin tone|prayer
	🤲🏽;palms up together: medium skin tone;medium skin tone|palms up together|palms up together: medium skin tone|prayer
	🤲🏾;palms up together: medium-dark skin tone;medium-dark skin tone|palms up together|palms up together: medium-dark skin tone|prayer
	🤲🏿;palms up together: dark skin tone;dark skin tone|palms up together|palms up together: dark skin tone|prayer
🤝;handshake;agreement|hand|handshake|meeting|shake
	🤝🏻;handshake: light skin tone;agreement|hand|handshake|handshake: light skin tone|light skin tone|meeting|shake
	🤝🏼;handshake: medium-light skin tone;agreement|hand|handshake|handshake: medium-light skin tone|medium-light skin tone|meeting|shake
	🤝🏽;handshake: medium skin tone;agreement|hand|handshake|handshake: medium skin tone|medium skin tone|meeting|shake
	🤝🏾;handshake: medium-dark skin tone;agreement|hand|handshake|handshake: medium-dark skin tone|medium-dark skin tone|meeting|shake
	🤝🏿;handshake: dark skin tone;agreement|dark skin tone|hand|handshake|handshake: dark skin tone|meeting|shake
	🫱🏻‍🫲🏼;handshake: light skin tone, medium-light skin tone;agreement|hand|handshake|handshake: light skin tone, medium-light skin tone|light skin tone|medium-light skin tone|meeting|shake
	🫱🏻‍🫲🏽;handshake: light skin tone, medium skin tone;agreement|hand|handshake|handshake: light skin tone, medium skin tone|light skin tone|medium skin tone|meeting|shake
	🫱🏻‍🫲🏾;handshake: light skin tone, medium-dark skin tone;agreement|hand|handshake|handshake: light skin tone, medium-dark skin tone|light skin tone|medium-dark skin tone|meeting|shake
	🫱🏻‍🫲🏿;handshake: light skin tone, dark skin tone;agreement|dark skin tone|hand|handshake|handshake: light skin tone, dark skin tone|light skin tone|meeting|shake
	🫱🏼‍🫲🏻;handshake: medium-light skin tone, light skin tone;agreement|hand|handshake|handshake: medium-light skin tone, light skin tone|light skin tone|medium-light skin tone|meeting|shake
	🫱🏼‍🫲🏽;handshake: medium-light skin tone, medium skin tone;agreement|hand|handshake|handshake: medium-light skin tone, medium skin tone|medium skin tone|medium-light skin tone|meeting|shake
	🫱🏼‍🫲🏾;handshake: medium-light skin tone, medium-dark skin tone;agreement|hand|handshake|handshake: medium-light skin tone, medium-dark skin tone|medium-dark skin tone|medium-light skin tone|meeting|shake
	🫱🏼‍🫲🏿;handshake: medium-light skin tone, dark skin tone;agreement|dark skin tone|hand|handshake|handshake: medium-light skin tone, dark skin tone|medium-light skin tone|meeting|shake
	🫱🏽‍🫲🏻;handshake: medium skin tone, light skin tone;agreement|hand|handshake|handshake: medium skin tone, light skin tone|light skin tone|medium skin tone|meeting|shake
	🫱🏽‍🫲🏼;handshake: medium skin tone, medium-light skin tone;agreement|hand|handshake|handshake: medium skin tone, medium-light skin tone|medium skin tone|medium-light skin tone|meeting|shake
	🫱🏽‍🫲🏾;handshake: medium skin tone, medium-dark skin tone;agreement|hand|handshake|handshake: medium skin tone, medium-dark skin tone|medium skin tone|medium-dark skin tone|meeting|shake
	🫱🏽‍🫲🏿;handshake: medium skin tone, dark skin tone;agreement|dark skin tone|hand|handshake|handshake: medium skin tone, dark skin tone|medium skin tone|meeting|shake
	🫱🏾‍🫲🏻;handshake: medium-dark skin tone, light skin tone;agreement|hand|handshake|handshake: medium-dark skin tone, light skin tone|light skin tone|medium-dark skin tone|meeting|shake
	🫱🏾‍🫲🏼;handshake: medium-dark skin tone, medium-light skin tone;agreement|hand|handshake|handshake: medium-dark skin tone, medium-light skin tone|medium-dark skin tone|medium-light skin tone|meeting|shake
	🫱🏾‍🫲🏽;handshake: medium-dark skin tone, medium skin tone;agreement|hand|handshake|handshake: medium-dark skin tone, medium skin tone|medium skin tone|medium-dark skin tone|meeting|shake
	🫱🏾‍🫲🏿;handshake: medium-dark skin tone, dark skin tone;agreement|dark skin tone|hand|handshake|handshake: medium-dark skin tone, dark skin tone|medium-dark skin tone|meeting|shake
	🫱🏿‍🫲🏻;handshake: dark skin tone, light skin tone;agreement|dark skin tone|hand|handshake|handshake: dark skin tone, light skin tone|light skin tone|meeting|shake
	🫱🏿‍🫲🏼;handshake: dark skin tone, medium-light skin tone;agreement|dark skin tone|hand|handshake|handshake: dark skin tone, medium-light skin tone|medium-light skin tone|meeting|shake
	🫱🏿‍🫲🏽;handshake: dark skin tone, medium skin tone;agreement|dark skin tone|hand|handshake|handshake: dark skin tone, medium skin tone|medium skin tone|meeting|shake
	🫱🏿‍🫲🏾;handshake: dark skin tone, medium-dark skin tone;agreement|dark skin tone|hand|handshake|handshake: dark skin tone, medium-dark skin tone|medium-dark skin tone|meeting|shake
🙏;folded hands;ask|folded hands|hand|high 5|high five|please|pray|thanks
	🙏🏻;folded hands: light skin tone;ask|folded hands|folded hands: light skin tone|hand|high 5|high five|light skin tone|please|pray|thanks
	🙏🏼;folded hands: medium-light skin tone;ask|folded hands|folded hands: medium-light skin tone|hand|high 5|high five|medium-light skin tone|please|pray|thanks
	🙏🏽;folded hands: medium skin tone;ask|folded hands|folded hands: medium skin tone|hand|high 5|high five|medium skin tone|please|pray|thanks
	🙏🏾;folded hands: medium-dark skin tone;ask|folded hands|folded hands: medium-dark skin tone|hand|high 5|high five|medium-dark skin tone|please|pray|thanks
	🙏🏿;folded hands: dark skin tone;ask|dark skin tone|folded hands|folded hands: dark skin tone|hand|high 5|high five|please|pray|thanks
✍️;writing hand;hand|write|writing hand
	✍🏻;writing hand: light skin tone;hand|light skin tone|write|writing hand|writing hand: light skin tone
	✍🏼;writing hand: medium-light skin tone;hand|medium-light skin tone|write|writing hand|writing hand: medium-light skin tone
	✍🏽;writing hand: medium skin tone;hand|medium skin tone|write|writing hand|writing hand: medium skin tone
	✍🏾;writing hand: medium-dark skin tone;hand|medium-dark skin tone|write|writing hand|writing hand: medium-dark skin tone
	✍🏿;writing hand: dark skin tone;dark skin tone|hand|write|writing hand|writing hand: dark skin tone
💅;nail polish;care|cosmetics|manicure|nail|polish
	💅🏻;nail polish: light skin tone;care|cosmetics|light skin tone|manicure|nail|nail polish: light skin tone|polish
	💅🏼;nail polish: medium-light skin tone;care|cosmetics|manicure|medium-light skin tone|nail|nail polish: medium-light skin tone|polish
	💅🏽;nail polish: medium skin tone;care|cosmetics|manicure|medium skin tone|nail|nail polish: medium skin tone|polish
	💅🏾;nail polish: medium-dark skin tone;care|cosmetics|manicure|medium-dark skin tone|nail|nail polish: medium-dark skin tone|polish
	💅🏿;nail polish: dark skin tone;care|cosmetics|dark skin tone|manicure|nail|nail polish: dark skin tone|polish
🤳;selfie;camera|phone|selfie
	🤳🏻;selfie: light skin tone;camera|light skin tone|phone|selfie|selfie: light skin tone
