# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinsendes Gesicht;Gesicht|grinsendes Gesicht|lol|lustig
	👌🏼;OK-Zeichen: mittelhelle Hautfarbe;exzellent|Hand|in Ordnung|mittelhelle Hautfarbe|OK|OK-Zeichen|OK-Zeichen: mittelhelle Hautfarbe|perfekt
	👌🏽;OK-Zeichen: mittlere Hautfarbe;exzellent|Hand|in Ordnung|mittlere Hautfarbe|OK|OK-Zeichen|OK-Zeichen: mittlere Hautfarbe|perfekt
	👌🏾;OK-Zeichen: mitteldunkle Hautfarbe;exzellent|Hand|in Ordnung|mitteldunkle Hautfarbe|OK|OK-Zeichen|OK-Zeichen: mitteldunkle Hautfarbe|perfekt
	👌🏿;OK-Zeichen: dunkle Hautfarbe;dunkle Hautfarbe|exzellent|Hand|in Ordnung|OK|OK-Zeichen|OK-Zeichen: dunkle Hautfarbe|perfekt
🤌;zusammengedrückte Finger;Bündelhand|geht’s noch?|Handgeste|was soll das?|was willst du?|zusammengedrückte Finger|zusammengelegte Fingerspitzen
	🤌🏻;zusammengedrückte Finger: helle Hautfarbe;Bündelhand|geht’s noch?|Handgeste|helle Hautfarbe|was soll das?|was willst du?|zusammengedrückte Finger|zusammengedrückte Finger: helle Hautfarbe|zusammengelegte Fingerspitzen
	🤌🏼;zusammengedrückte Finger: mittelhelle Hautfarbe;Bündelhand|geht’s noch?|Handgeste|mittelhelle Hautfarbe|was soll das?|was willst du?|zusammengedrückte Finger|zusammengedrückte Finger: mittelhelle Hautfarbe|zusammengelegte Fingerspitzen
	🤌🏽;zusammengedrückte Finger: mittlere Hautfarbe;Bündelhand|geht’s noch?|Handgeste|mittlere Hautfarbe|was soll das?|was willst du?|zusammengedrückte Finger|zusammengedrückte Finger: mittlere Hautfarbe|zusammengelegte Fingerspitzen
	🤌🏾;zusammengedrückte Finger: mitteldunkle Hautfarbe;Bündelhand|geht’s noch?|Handgeste|mitteldunkle Hautfarbe|was soll das?|was willst du?|zusammengedrückte Finger|zusammengedrückte Finger: mitteldunkle Hautfarbe|zusammengelegte Fingerspitzen
	🤌🏿;zusammengedrückte Finger: dunkle Hautfarbe;Bündelhand|dunkle Hautfarbe|geht’s noch?|Handgeste|was soll das?|was willst du?|zusammengedrückte Finger|zusammengedrückte Finger: dunkle Hautfarbe|zusammengelegte Fingerspitzen
🤏;Wenig-Geste;klein|kleine Menge|kleiner Betrag|unbedeutend|wenig|Wenig-Geste
	🤏🏻;Wenig-Geste: helle Hautfarbe;helle Hautfarbe|klein|kleine Menge|kleiner Betrag|unbedeutend|wenig|Wenig-Geste|Wenig-Geste: helle Hautfarbe
	🤏🏼;Wenig-Geste: mittelhelle Hautfarbe;klein|kleine Menge|kleiner Betrag|mittelhelle Hautfarbe|unbedeutend|wenig|Wenig-Geste|Wenig-Geste: mittelhelle Hautfarbe
	🤏🏽;Wenig-Geste: mittlere Hautfarbe;klein|kleine Menge|kleiner Betrag|mittlere Hautfarbe|unbedeutend|wenig|Wenig-Geste|Wenig-Geste: mittlere Hautfarbe
	🤏🏾;Wenig-Geste: mitteldunkle Hautfarbe;klein|kleine Menge|kleiner Betrag|mitteldunkle Hautfarbe|unbedeutend|wenig|Wenig-Geste|Wenig-Geste: mitteldunkle Hautfarbe
	🤏🏿;Wenig-Geste: dunkle Hautfarbe;dunkle Hautfarbe|klein|kleine Menge|kleiner Betrag|unbedeutend|wenig|Wenig-Geste|Wenig-Geste: dunkle Hautfarbe
✌️;Victory-Geste;Sieg|V|Victory-Geste
	✌🏻;Victory-Geste: helle Hautfarbe;helle Hautfarbe|Sieg|V|Victory-Geste|Victory-Geste: helle Hautfarbe
	✌🏼;Victory-Geste: mittelhelle Hautfarbe;mittelhelle Hautfarbe|Sieg|V|Victory-Geste|Victory-Geste: mittelhelle Hautfarbe
	✌🏽;Victory-Geste: mittlere Hautfarbe;mittlere Hautfarbe|Sieg|V|Victory-Geste|Victory-Geste: mittlere Hautfarbe
	✌🏾;Victory-Geste: mitteldunkle Hautfarbe;mitteldunkle Hautfarbe|Sieg|V|Victory-Geste|Victory-Geste: mitteldunkle Hautfarbe
	✌🏿;Victory-Geste: dunkle Hautfarbe;dunkle Hautfarbe|Sieg|V|Victory-Geste|Victory-Geste: dunkle Hautfarbe
🤞;Hand mit gekreuzten Fingern;Finger|gekreuzt|Hand|Hand mit gekreuzten Fingern
	🤞🏻;Hand mit gekreuzten Fingern: helle Hautfarbe;Finger|gekreuzt|Hand|Hand mit gekreuzten Fingern|Hand mit gekreuzten Fingern: helle Hautfarbe|helle Hautfarbe
	🤞🏼;Hand mit gekreuzten Fingern: mittelhelle Hautfarbe;Finger|gekreuzt|Hand|Hand mit gekreuzten Fingern|Hand mit gekreuzten Fingern: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🤞🏽;Hand mit gekreuzten Fingern: mittlere Hautfarbe;Finger|gekreuzt|Hand|Hand mit gekreuzten Fingern|Hand mit gekreuzten Fingern: mittlere Hautfarbe|mittlere Hautfarbe
	🤞🏾;Hand mit gekreuzten Fingern: mitteldunkle Hautfarbe;Finger|gekreuzt|Hand|Hand mit gekreuzten Fingern|Hand mit gekreuzten Fingern: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	🤞🏿;Hand mit gekreuzten Fingern: dunkle Hautfarbe;dunkle Hautfarbe|Finger|gekreuzt|Hand|Hand mit gekreuzten Fingern|Hand mit gekreuzten Fingern: dunkle Hautfarbe
🫰;Hand mit gekreuztem Zeigefinger und Daumen;Fingerherz|Geld|Hand mit gekreuztem Zeigefinger und Daumen|Handgeste|teuer
	🫰🏻;Hand mit gekreuztem Zeigefinger und Daumen: helle Hautfarbe;Fingerherz|Geld|Hand mit gekreuztem Zeigefinger und Daumen|Hand mit gekreuztem Zeigefinger und Daumen: helle Hautfarbe|Handgeste|helle Hautfarbe|teuer
	🫰🏼;Hand mit gekreuztem Zeigefinger und Daumen: mittelhelle Hautfarbe;Fingerherz|Geld|Hand mit gekreuztem Zeigefinger und Daumen|Hand mit gekreuztem Zeigefinger und Daumen: mittelhelle Hautfarbe|Handgeste|mittelhelle Hautfarbe|teuer
	🫰🏽;Hand mit gekreuztem Zeigefinger und Daumen: mittlere Hautfarbe;Fingerherz|Geld|Hand mit gekreuztem Zeigefinger und Daumen|Hand mit gekreuztem Zeigefinger und Daumen: mittlere Hautfarbe|Handgeste|mittlere Hautfarbe|teuer
	🫰🏾;Hand mit gekreuztem Zeigefinger und Daumen: mitteldunkle Hautfarbe;Fingerherz|Geld|Hand mit gekreuztem Zeigefinger und Daumen|Hand mit gekreuztem Zeigefinger und Daumen: mitteldunkle Hautfarbe|Handgeste|mitteldunkle Hautfarbe|teuer
	🫰🏿;Hand mit gekreuztem Zeigefinger und Daumen: dunkle Hautfarbe;dunkle Hautfarbe|Fingerherz|Geld|Hand mit gekreuztem Zeigefinger und Daumen|Hand mit gekreuztem Zeigefinger und Daumen: dunkle Hautfarbe|Handgeste|teuer
🤟;Ich-liebe-dich-Geste;Hand|ich liebe dich|Ich-liebe-dich-Geste
	🤟🏻;Ich-liebe-dich-Geste: helle Hautfarbe;Hand|helle Hautfarbe|ich liebe dich|Ich-liebe-dich-Geste|Ich-liebe-dich-Geste: helle Hautfarbe
	🤟🏼;Ich-liebe-dich-Geste: mittelhelle Hautfarbe;Hand|ich liebe dich|Ich-liebe-dich-Geste|Ich-liebe-dich-Geste: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🤟🏽;Ich-liebe-dich-Geste: mittlere Hautfarbe;Hand|ich liebe dich|Ich-liebe-dich-Geste|Ich-liebe-dich-Geste: mittlere Hautfarbe|mittlere Hautfarbe
	🤟🏾;Ich-liebe-dich-Geste: mitteldunkle Hautfarbe;Hand|ich liebe dich|Ich-liebe-dich-Geste|Ich-liebe-dich-Geste: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	🤟🏿;Ich-liebe-dich-Geste: dunkle Hautfarbe;dunkle Hautfarbe|Hand|ich liebe dich|Ich-liebe-dich-Geste|Ich-liebe-dich-Geste: dunkle Hautfarbe
🤘;Teufelsgruß;Finger|Hand|Hörner|Rock|Teufel|Teufelsgruß
	🤘🏻;Teufelsgruß: helle Hautfarbe;Finger|Hand|helle Hautfarbe|Hörner|Rock|Teufel|Teufelsgruß|Teufelsgruß: helle Hautfarbe
	🤘🏼;Teufelsgruß: mittelhelle Hautfarbe;Finger|Hand|Hörner|mittelhelle Hautfarbe|Rock|Teufel|Teufelsgruß|Teufelsgruß: mittelhelle Hautfarbe
	🤘🏽;Teufelsgruß: mittlere Hautfarbe;Finger|Hand|Hörner|mittlere Hautfarbe|Rock|Teufel|Teufelsgruß|Teufelsgruß: mittlere Hautfarbe
	🤘🏾;Teufelsgruß: mitteldunkle Hautfarbe;Finger|Hand|Hörner|mitteldunkle Hautfarbe|Rock|Teufel|Teufelsgruß|Teufelsgruß: mitteldunkle Hautfarbe
	🤘🏿;Teufelsgruß: dunkle Hautfarbe;dunkle Hautfarbe|Finger|Hand|Hörner|Rock|Teufel|Teufelsgruß|Teufelsgruß: dunkle Hautfarbe
🤙;Ruf-mich-an-Handzeichen;anrufen|Hand|Ruf-mich-an-Handzeichen
	🤙🏻;Ruf-mich-an-Handzeichen: helle Hautfarbe;anrufen|Hand|helle Hautfarbe|Ruf-mich-an-Handzeichen|Ruf-mich-an-Handzeichen: helle Hautfarbe
	🤙🏼;Ruf-mich-an-Handzeichen: mittelhelle Hautfarbe;anrufen|Hand|mittelhelle Hautfarbe|Ruf-mich-an-Handzeichen|Ruf-mich-an-Handzeichen: mittelhelle Hautfarbe
	🤙🏽;Ruf-mich-an-Handzeichen: mittlere Hautfarbe;anrufen|Hand|mittlere Hautfarbe|Ruf-mich-an-Handzeichen|Ruf-mich-an-Handzeichen: mittlere Hautfarbe
	🤙🏾;Ruf-mich-an-Handzeichen: mitteldunkle Hautfarbe;anrufen|Hand|mitteldunkle Hautfarbe|Ruf-mich-an-Handzeichen|Ruf-mich-an-Handzeichen: mitteldunkle Hautfarbe
	🤙🏿;Ruf-mich-an-Handzeichen: dunkle Hautfarbe;anrufen|dunkle Hautfarbe|Hand|Ruf-mich-an-Handzeichen|Ruf-mich-an-Handzeichen: dunkle Hautfarbe
👈;nach links weisender Zeigefinger;Finger|Handrückseite|links|nach links weisender Zeigefinger
	👈🏻;nach links weisender Zeigefinger: helle Hautfarbe;Finger|Handrückseite|helle Hautfarbe|links|nach links weisender Zeigefinger|nach links weisender Zeigefinger: helle Hautfarbe
	👈🏼;nach links weisender Zeigefinger: mittelhelle Hautfarbe;Finger|Handrückseite|links|mittelhelle Hautfarbe|nach links weisender Zeigefinger|nach links weisender Zeigefinger: mittelhelle Hautfarbe
	👈🏽;nach links weisender Zeigefinger: mittlere Hautfarbe;Finger|Handrückseite|links|mittlere Hautfarbe|nach links weisender Zeigefinger|nach links weisender Zeigefinger: mittlere Hautfarbe
	👈🏾;nach links weisender Zeigefinger: mitteldunkle Hautfarbe;Finger|Handrückseite|links|mitteldunkle Hautfarbe|nach links weisender Zeigefinger|nach links weisender Zeigefinger: mitteldunkle Hautfarbe
	👈🏿;nach links weisender Zeigefinger: dunkle Hautfarbe;dunkle Hautfarbe|Finger|Handrückseite|links|nach links weisender Zeigefinger|nach links weisender Zeigefinger: dunkle Hautfarbe
👉;nach rechts weisender Zeigefinger;Finger|Handrückseite|nach rechts weisender Zeigefinger|rechts
	👉🏻;nach rechts weisender Zeigefinger: helle Hautfarbe;Finger|Handrückseite|helle Hautfarbe|nach rechts weisender Zeigefinger|nach rechts weisender Zeigefinger: helle Hautfarbe|rechts
	👉🏼;nach rechts weisender Zeigefinger: mittelhelle Hautfarbe;Finger|Handrückseite|mittelhelle Hautfarbe|nach rechts weisender Zeigefinger|nach rechts weisender Zeigefinger: mittelhelle Hautfarbe|rechts
	👉🏽;nach rechts weisender Zeigefinger: mittlere Hautfarbe;Finger|Handrückseite|mittlere Hautfarbe|nach rechts weisender Zeigefinger|nach rechts weisender Zeigefinger: mittlere Hautfarbe|rechts
	👉🏾;nach rechts weisender Zeigefinger: mitteldunkle Hautfarbe;Finger|Handrückseite|mitteldunkle Hautfarbe|nach rechts weisender Zeigefinger|nach rechts weisender Zeigefinger: mitteldunkle Hautfarbe|rechts
	👉🏿;nach rechts weisender Zeigefinger: dunkle Hautfarbe;dunkle Hautfarbe|Finger|Handrückseite|nach rechts weisender Zeigefinger|nach rechts weisender Zeigefinger: dunkle Hautfarbe|rechts
👆;nach oben weisender Zeigefinger von hinten;aufwärts|Finger|Handrückseite|nach oben weisender Zeigefinger von hinten
	👆🏻;nach oben weisender Zeigefinger von hinten: helle Hautfarbe;aufwärts|Finger|Handrückseite|helle Hautfarbe|nach oben weisender Zeigefinger von hinten|nach oben weisender Zeigefinger von hinten: helle Hautfarbe
	👆🏼;nach oben weisender Zeigefinger von hinten: mittelhelle Hautfarbe;aufwärts|Finger|Handrückseite|mittelhelle Hautfarbe|nach oben weisender Zeigefinger von hinten|nach oben weisender Zeigefinger von hinten: mittelhelle Hautfarbe
	👆🏽;nach oben weisender Zeigefinger von hinten: mittlere Hautfarbe;aufwärts|Finger|Handrückseite|mittlere Hautfarbe|nach oben weisender Zeigefinger von hinten|nach oben weisender Zeigefinger von hinten: mittlere Hautfarbe
	👆🏾;nach oben weisender Zeigefinger von hinten: mitteldunkle Hautfarbe;aufwärts|Finger|Handrückseite|mitteldunkle Hautfarbe|nach oben weisender Zeigefinger von hinten|nach oben weisender Zeigefinger von hinten: mitteldunkle Hautfarbe
	👆🏿;nach oben weisender Zeigefinger von hinten: dunkle Hautfarbe;aufwärts|dunkle Hautfarbe|Finger|Handrückseite|nach oben weisender Zeigefinger von hinten|nach oben weisender Zeigefinger von hinten: dunkle Hautfarbe
🖕;Mittelfinger;Finger|Hand|Mittelfinger
	🖕🏻;Mittelfinger: helle Hautfarbe;Finger|Hand|helle Hautfarbe|Mittelfinger|Mittelfinger: helle Hautfarbe
	🖕🏼;Mittelfinger: mittelhelle Hautfarbe;Finger|Hand|Mittelfinger|Mittelfinger: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🖕🏽;Mittelfinger: mittlere Hautfarbe;Finger|Hand|Mittelfinger|Mittelfinger: mittlere Hautfarbe|mittlere Hautfarbe
	🖕🏾;Mittelfinger: mitteldunkle Hautfarbe;Finger|Hand|mitteldunkle Hautfarbe|Mittelfinger|Mittelfinger: mitteldunkle Hautfarbe
	🖕🏿;Mittelfinger: dunkle Hautfarbe;dunkle Hautfarbe|Finger|Hand|Mittelfinger|Mittelfinger: dunkle Hautfarbe
👇;nach unten weisender Zeigefinger;abwärts|Finger|Handrückseite|nach unten weisender Zeigefinger
	👇🏻;nach unten weisender Zeigefinger: helle Hautfarbe;abwärts|Finger|Handrückseite|helle Hautfarbe|nach unten weisender Zeigefinger|nach unten weisender Zeigefinger: helle Hautfarbe
	👇🏼;nach unten weisender Zeigefinger: mittelhelle Hautfarbe;abwärts|Finger|Handrückseite|mittelhelle Hautfarbe|nach unten weisender Zeigefinger|nach unten weisender Zeigefinger: mittelhelle Hautfarbe
	👇🏽;nach unten weisender Zeigefinger: mittlere Hautfarbe;abwärts|Finger|Handrückseite|mittlere Hautfarbe|nach unten weisender Zeigefinger|nach unten weisender Zeigefinger: mittlere Hautfarbe
	👇🏾;nach unten weisender Zeigefinger: mitteldunkle Hautfarbe;abwärts|Finger|Handrückseite|mitteldunkle Hautfarbe|nach unten weisender Zeigefinger|nach unten weisender Zeigefinger: mitteldunkle Hautfarbe
	👇🏿;nach unten weisender Zeigefinger: dunkle Hautfarbe;abwärts|dunkle Hautfarbe|Finger|Handrückseite|nach unten weisender Zeigefinger|nach unten weisender Zeigefinger: dunkle Hautfarbe
☝️;nach oben weisender Zeigefinger von vorne;Finger|Hand|Handvorderseite|nach oben|nach oben weisender Zeigefinger von vorne|Zeigefinger
	☝🏻;nach oben weisender Zeigefinger von vorne: helle Hautfarbe;Finger|Hand|Handvorderseite|helle Hautfarbe|nach oben|nach oben weisender Zeigefinger von vorne|nach oben weisender Zeigefinger von vorne: helle Hautfarbe|Zeigefinger
	☝🏼;nach oben weisender Zeigefinger von vorne: mittelhelle Hautfarbe;Finger|Hand|Handvorderseite|mittelhelle Hautfarbe|nach oben|nach oben weisender Zeigefinger von vorne|nach oben weisender Zeigefinger von vorne: mittelhelle Hautfarbe|Zeigefinger
	☝🏽;nach oben weisender Zeigefinger von vorne: mittlere Hautfarbe;Finger|Hand|Handvorderseite|mittlere Hautfarbe|nach oben|nach oben weisender Zeigefinger von vorne|nach oben weisender Zeigefinger von vorne: mittlere Hautfarbe|Zeigefinger
	☝🏾;nach oben weisender Zeigefinger von vorne: mitteldunkle Hautfarbe;Finger|Hand|Handvorderseite|mitteldunkle Hautfarbe|nach oben|nach oben weisender Zeigefinger von vorne|nach oben weisender Zeigefinger von vorne: mitteldunkle Hautfarbe|Zeigefinger
	☝🏿;nach oben weisender Zeigefinger von vorne: dunkle Hautfarbe;dunkle Hautfarbe|Finger|Hand|Handvorderseite|nach oben|nach oben weisender Zeigefinger von vorne|nach oben weisender Zeigefinger von vorne: dunkle Hautfarbe|Zeigefinger
🫵;auf Betrachter zeigender Zeigefinger;auf Betrachter zeigender Zeigefinger|du|Handgeste|mit Finger zeigen|Sie|zeigen
	🫵🏻;auf Betrachter zeigender Zeigefinger: helle Hautfarbe;auf Betrachter zeigender Zeigefinger|auf Betrachter zeigender Zeigefinger: helle Hautfarbe|du|Handgeste|helle Hautfarbe|mit Finger zeigen|Sie|zeigen
	🫵🏼;auf Betrachter zeigender Zeigefinger: mittelhelle Hautfarbe;auf Betrachter zeigender Zeigefinger|auf Betrachter zeigender Zeigefinger: mittelhelle Hautfarbe|du|Handgeste|mit Finger zeigen|mittelhelle Hautfarbe|Sie|zeigen
	🫵🏽;auf Betrachter zeigender Zeigefinger: mittlere Hautfarbe;auf Betrachter zeigender Zeigefinger|auf Betrachter zeigender Zeigefinger: mittlere Hautfarbe|du|Handgeste|mit Finger zeigen|mittlere Hautfarbe|Sie|zeigen
	🫵🏾;auf Betrachter zeigender Zeigefinger: mitteldunkle Hautfarbe;auf Betrachter zeigender Zeigefinger|auf Betrachter zeigender Zeigefinger: mitteldunkle Hautfarbe|du|Handgeste|mit Finger zeigen|mitteldunkle Hautfarbe|Sie|zeigen
	🫵🏿;auf Betrachter zeigender Zeigefinger: dunkle Hautfarbe;auf Betrachter zeigender Zeigefinger|auf Betrachter zeigender Zeigefinger: dunkle Hautfarbe|du|dunkle Hautfarbe|Handgeste|mit Finger zeigen|Sie|zeigen
👍;Daumen hoch;Daumen|Daumen hoch|gut|Hand|nach oben
	👍🏻;Daumen hoch: helle Hautfarbe;Daumen|Daumen hoch|Daumen hoch: helle Hautfarbe|gut|Hand|helle Hautfarbe|nach oben
	👍🏼;Daumen hoch: mittelhelle Hautfarbe;Daumen|Daumen hoch|Daumen hoch: mittelhelle Hautfarbe|gut|Hand|mittelhelle Hautfarbe|nach oben
	👍🏽;Daumen hoch: mittlere Hautfarbe;Daumen|Daumen hoch|Daumen hoch: mittlere Hautfarbe|gut|Hand|mittlere Hautfarbe|nach oben
	👍🏾;Daumen hoch: mitteldunkle Hautfarbe;Daumen|Daumen hoch|Daumen hoch: mitteldunkle Hautfarbe|gut|Hand|mitteldunkle Hautfarbe|nach oben
	👍🏿;Daumen hoch: dunkle Hautfarbe;Daumen|Daumen hoch|Daumen hoch: dunkle Hautfarbe|dunkle Hautfarbe|gut|Hand|nach oben
👎;Daumen runter;Daumen|Daumen runter|Hand|nach unten|schlecht
	👎🏻;Daumen runter: helle Hautfarbe;Daumen|Daumen runter|Daumen runter: helle Hautfarbe|Hand|helle Hautfarbe|nach unten|schlecht
	👎🏼;Daumen runter: mittelhelle Hautfarbe;Daumen|Daumen runter|Daumen runter: mittelhelle Hautfarbe|Hand|mittelhelle Hautfarbe|nach unten|schlecht
	👎🏽;Daumen runter: mittlere Hautfarbe;Daumen|Daumen runter|Daumen runter: mittlere Hautfarbe|Hand|mittlere Hautfarbe|nach unten|schlecht
	👎🏾;Daumen runter: mitteldunkle Hautfarbe;Daumen|Daumen runter|Daumen runter: mitteldunkle Hautfarbe|Hand|mitteldunkle Hautfarbe|nach unten|schlecht
	👎🏿;Daumen runter: dunkle Hautfarbe;Daumen|Daumen runter|Daumen runter: dunkle Hautfarbe|dunkle Hautfarbe|Hand|nach unten|schlecht
✊;erhobene Faust;erhobene Faust|Faust
	✊🏻;erhobene Faust: helle Hautfarbe;erhobene Faust|erhobene Faust: helle Hautfarbe|Faust|helle Hautfarbe
	✊🏼;erhobene Faust: mittelhelle Hautfarbe;erhobene Faust|erhobene Faust: mittelhelle Hautfarbe|Faust|mittelhelle Hautfarbe
	✊🏽;erhobene Faust: mittlere Hautfarbe;erhobene Faust|erhobene Faust: mittlere Hautfarbe|Faust|mittlere Hautfarbe
	✊🏾;erhobene Faust: mitteldunkle Hautfarbe;erhobene Faust|erhobene Faust: mitteldunkle Hautfarbe|Faust|mitteldunkle Hautfarbe
	✊🏿;erhobene Faust: dunkle Hautfarbe;dunkle Hautfarbe|erhobene Faust|erhobene Faust: dunkle Hautfarbe|Faust
👊;geballte Faust;Faust|geballte Faust|Hand
	👊🏻;geballte Faust: helle Hautfarbe;Faust|geballte Faust|geballte Faust: helle Hautfarbe|Hand|helle Hautfarbe
	👊🏼;geballte Faust: mittelhelle Hautfarbe;Faust|geballte Faust|geballte Faust: mittelhelle Hautfarbe|Hand|mittelhelle Hautfarbe
	👊🏽;geballte Faust: mittlere Hautfarbe;Faust|geballte Faust|geballte Faust: mittlere Hautfarbe|Hand|mittlere Hautfarbe
	👊🏾;geballte Faust: mitteldunkle Hautfarbe;Faust|geballte Faust|geballte Faust: mitteldunkle Hautfarbe|Hand|mitteldunkle Hautfarbe
	👊🏿;geballte Faust: dunkle Hautfarbe;dunkle Hautfarbe|Faust|geballte Faust|geballte Faust: dunkle Hautfarbe|Hand
🤛;Faust nach links;Faust|Faust nach links|nach links
	🤛🏻;Faust nach links: helle Hautfarbe;Faust|Faust nach links|Faust nach links: helle Hautfarbe|helle Hautfarbe|nach links
	🤛🏼;Faust nach links: mittelhelle Hautfarbe;Faust|Faust nach links|Faust nach links: mittelhelle Hautfarbe|mittelhelle Hautfarbe|nach links
	🤛🏽;Faust nach links: mittlere Hautfarbe;Faust|Faust nach links|Faust nach links: mittlere Hautfarbe|mittlere Hautfarbe|nach links
	🤛🏾;Faust nach links: mitteldunkle Hautfarbe;Faust|Faust nach links|Faust nach links: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|nach links
	🤛🏿;Faust nach links: dunkle Hautfarbe;dunkle Hautfarbe|Faust|Faust nach links|Faust nach links: dunkle Hautfarbe|nach links
🤜;Faust nach rechts;Faust|Faust nach rechts|nach rechts
	🤜🏻;Faust nach rechts: helle Hautfarbe;Faust|Faust nach rechts|Faust nach rechts: helle Hautfarbe|helle Hautfarbe|nach rechts
	🤜🏼;Faust nach rechts: mittelhelle Hautfarbe;Faust|Faust nach rechts|Faust nach rechts: mittelhelle Hautfarbe|mittelhelle Hautfarbe|nach rechts
	🤜🏽;Faust nach rechts: mittlere Hautfarbe;Faust|Faust nach rechts|Faust nach rechts: mittlere Hautfarbe|mittlere Hautfarbe|nach rechts
	🤜🏾;Faust nach rechts: mitteldunkle Hautfarbe;Faust|Faust nach rechts|Faust nach rechts: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe|nach rechts
	🤜🏿;Faust nach rechts: dunkle Hautfarbe;dunkle Hautfarbe|Faust|Faust nach rechts|Faust nach rechts: dunkle Hautfarbe|nach rechts
👏;klatschende Hände;applaudieren|Beifall|Hände|Klatschen|klatschende Hände
	👏🏻;klatschende Hände: helle Hautfarbe;applaudieren|Beifall|Hände|helle Hautfarbe|Klatschen|klatschende Hände|klatschende Hände: helle Hautfarbe
	👏🏼;klatschende Hände: mittelhelle Hautfarbe;applaudieren|Beifall|Hände|Klatschen|klatschende Hände|klatschende Hände: mittelhelle Hautfarbe|mittelhelle Hautfarbe
